Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Candidate father species,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
UHA-0020,13,UHA-0261,14,13,0,14.48,UHA-0260,muehlenbergii,14,13,0,20.02,20.02,*,13,0,23.69,23.69,*
UHA-0025,13,UHA-0261,14,13,0,13.90,UHA-0258,muehlenbergii,12,12,1,10.93,10.93,*,12,1,14.15,14.15,*
UHA-0026,13,UHA-0261,14,13,0,14.88,UHA-0298,muehlenbergii,13,12,1,8.42,8.42,*,12,1,9.19,9.19,*
UHA-0027,14,UHA-0261,14,14,0,13.25,UHA-0257,muehlenbergii,13,13,0,10.85,10.85,*,13,0,15.36,15.36,*
UHA-0028,14,UHA-0261,14,14,0,17.25,UHA-0257,muehlenbergii,13,13,0,8.94,8.94,*,13,0,14.35,14.35,*
UHA-0099,13,UHA-0257,13,13,0,11.27,UHA-0258,muehlenbergii,12,12,0,12.38,12.38,*,12,0,14.46,14.46,*
UHA-0029,14,UHA-0261,14,14,0,13.50,UHA-0257,muehlenbergii,13,13,0,9.49,9.49,*,13,0,14.61,14.61,*
UHA-0043,12,UHA-0260,14,12,0,9.51,UHA-0261,muehlenbergii,14,12,1,6.54,6.54,+,12,2,7.05,7.05,*
UHA-0045,13,UHA-0260,14,13,0,14.64,UHA-0298,muehlenbergii,13,12,0,8.82,8.82,*,12,1,9.20,9.20,*
UHA-0047,14,UHA-0260,14,14,0,12.49,UHA-0298,muehlenbergii,13,13,0,8.22,8.22,*,13,1,9.30,9.30,*
UHA-0052,14,UHA-0260,14,14,0,19.45,UHA-0298,muehlenbergii,13,13,2,3.34,0.00,,13,3,2.85,2.85,-
UHA-0056,12,UHA-0260,14,12,0,8.14,UHA-0258,muehlenbergii,12,11,1,7.16,7.16,*,11,1,8.23,8.23,*
UHA-0068,13,UHA-0014,13,13,1,4.41,UHA-0264,muehlenbergii,13,13,0,11.69,11.69,*,13,1,13.42,13.42,*
UHA-0070,13,UHA-0014,13,13,0,9.92,UHA-0262,muehlenbergii,13,13,1,8.55,0.00,,13,1,9.64,9.64,*
UHA-0071,12,UHA-0014,13,12,0,8.36,UHA-0266,muehlenbergii,12,12,0,12.00,12.00,*,12,0,14.93,14.93,*
UHA-0075,12,UHA-0014,13,12,0,8.49,UHA-0298,muehlenbergii,13,12,0,9.80,9.80,*,12,0,12.86,12.86,*
UHA-0077,13,UHA-0014,13,13,0,9.23,UHA-0263,muehlenbergii,13,13,1,7.33,7.33,*,13,2,5.48,5.48,+
UHA-0079,13,UHA-0014,13,13,1,8.82,UHA-0013,muehlenbergii,13,13,1,10.07,0.00,,13,1,12.72,12.72,*
UHA-0080,12,UHA-0014,13,12,0,7.82,UHA-0265,muehlenbergii,13,12,0,11.74,11.74,*,12,1,13.42,13.42,*
UHA-0081,12,UHA-0014,13,12,0,10.42,UHA-0013,muehlenbergii,13,12,0,10.95,10.95,*,12,0,12.93,12.93,*
UHA-0098,13,UHA-0257,13,13,0,9.50,UHA-0260,muehlenbergii,14,13,0,12.34,12.34,*,13,0,17.00,17.00,*
UHA-0101,11,UHA-0257,13,11,1,5.59,UHA-0260,muehlenbergii,14,11,0,9.13,9.13,*,11,1,11.96,11.96,*
UHA-0105,12,UHA-0257,13,12,0,13.48,UHA-0258,muehlenbergii,12,12,1,8.73,8.73,*,12,1,11.21,11.21,*
UHA-0109,13,UHA-0257,13,13,0,10.56,UHA-0261,muehlenbergii,14,13,0,11.50,11.50,*,13,0,16.46,16.46,*
UHA-0111,13,UHA-0257,13,13,0,11.87,UHA-0258,muehlenbergii,12,12,2,7.15,7.15,*,12,3,5.54,5.54,+
UHA-0112,12,UHA-0257,13,12,6,-7.66,UHA-0265,muehlenbergii,13,12,0,12.34,12.34,*,12,7,7.66,7.66,*
